epoch,step,train_loss
4,49,0.02895018272101879
9,99,0.06216629967093468
14,149,0.01031274814158678
19,199,0.014733641408383846
24,249,0.04082082211971283
29,299,0.019056599587202072
34,349,0.04934884235262871
39,399,0.01548773329705
44,449,0.005158892832696438
49,499,0.017337622120976448
